MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres
734195.855171991,25.9843,128.5078,24.2,7,0,49,0,0.33894222376853
734150.911926042,18.3823,-72.588,15,7,0,72,0,0.506078640171285
733680.638551389,-30.0971,-177.6336,35,7,0,68,0,0.481255056446253
733589.262312731,-58.284,-21.9794,10,7,0,25,0,0.0466861524120541
733315.089250463,10.5355,145.7995,18.5,7,0,24,0,0.0289573854516223
733037.518301273,21.8643,120.5446,6.6,7,0,29,0,0.111144141638972
732909.154003704,-61.016,-34.2851,0.5,7,0,10,0,-0.351253856259984
732730.929968982,-21.3113,33.5493,16.4,7,0,76,0,0.529559736020808
732279.772369907,42.9016,145.2087,42.8,7,0,36,0,0.205048644507304
731982.878506366,-3.6455,135.5219,28.3,7,0,69,0,0.487595234477272
731657.691866435,51.2395,177.9148,32.4,7,0,18,1,-0.0959813511566776
731295.166581018,34.276,-176.45,15,7,0,0,0,-Inf
731218.724199074,-15.6,170.4,10,7,0,0,0,-Inf
730861.668559954,56.986,-153.462,33,7,0,7,0,-0.506155816245727
730826.716048727,39.493,54.811,33,7,0,9,0,-0.397011346820659
730763.707486921,-15.391,166.909,42.2,7,0,37,0,0.216947867807011
730595.996722222,36.52,27.348,33,7,0,4,0,-0.749193864932021
730460.966998264,57.395,-154.574,19.5,7,0,14,0,-0.205125820581746
730443.581108449,-6.322,148.7,44.6,7,0,21,2,-0.0290345615260643
730439.237998958,-1.374,88.969,10,7,0,6,0,-0.57310260587634
730068.235231019,-6.9558,128.9606,32.9,7,0,34,1,0.180225060782272
729971.791230787,-0.5539,-80.3153,46.6,7,0,52,1,0.364749487374815
729953.367631944,-3.2004,141.6695,34.3,7,0,72,0,0.506078640171285
729785.51121875,-23.838,-70.1614,44.2,7,0,1,0,-1.35125385625998
729719.510140278,1.2086,122.5622,46.3,7,0,6,0,-0.57310260587634
729448.880586921,29.9614,68.2024,33.6,7,0,64,0,0.454926117723903
729228.596940972,1.017,120.4769,33.9,7,0,34,1,0.180225060782272
729187.765896181,12.6502,125.202,16.4,7,0,59,0,0.419598155382161
728695.952150347,-37.6567,178.8912,21,7,0,267,0,1.07525740510459
728612.80243669,13.5459,121.1352,31.5,7,0,30,0,0.125867398459679
728367.187696181,-1.109,-23.5378,10,7,0,0,1,-Inf
728337.74889375,-20.5638,169.3364,27.7,7,0,32,0,0.153896122059922
728315.100346759,1.0342,127.7825,19.6,7,0,33,0,0.167260083617904
728246.054215741,51.9077,158.6605,34,7,0,18,0,-0.0959813511566776
728151.036011111,-45.0643,166.9113,8.4,7,0,17,0,-0.12080493488171
727711.217816204,-11.1131,165.2191,23.1,7,0,35,0,0.192814188090292
727337.04029456,1.154,122.9758,30.7,7,0,33,0,0.167260083617904
727247.10935706,8.9087,126.5056,49.9,7,0,32,0,0.153896122059922
726998.320088657,11.6674,122.0034,18.1,7,0,21,0,-0.0290345615260643
726715.55206713,55.5766,-156.8582,11,7,0,0,0,-Inf
726121.312868056,-24.7279,-70.5422,33,7,0,18,0,-0.0959813511566776
725802.174100694,0.1226,-77.8046,10,7,0,13,1,-0.237310503953147
725767.937303356,-60.0525,-26.8848,53.1,7,0,20,0,-0.0502238605960024
725492.296754282,18.3692,-103.0103,37.8,7,0,9,0,-0.397011346820659
725339.159669676,-13.978,166.1866,43.1,7,0,89,6,0.598136150384929
725110.125055208,1.6494,126.5047,35.7,7,0,16,0,-0.147133873604059
724720.853221528,40.3483,63.3611,15,7,0,54,0,0.381139903562985
724649.641841898,-2.8248,118.7589,42.7,7,0,2,0,-1.050223860596
723611.821531366,3.9325,-85.8831,32.5,7,0,2,0,-1.050223860596
722316.256189815,-11.1596,118.4064,33,7,0,184,1,0.913563966749553
736813.849505324,5.5046,125.0719,26,6.9,0,20,0,0.0408840472185537
736809.901745833,-33.0291,-72.0452,28,6.9,0,52,3,0.455857395189371
736698.911466435,-19.3542,176.058,12,6.9,0,45,0,0.393066565329916
736655.874872801,37.3917,141.4025,11.35,6.9,0,85,2,0.669272977268865
736620.260397801,-6.0526,148.8617,35,6.9,0,13,0,-0.146202596138591
736423.349911111,-14.3235,166.8551,26,6.9,0,154,2,0.927374772391035
736172.201223032,52.2759,-169.5348,27.8,6.9,0,41,2,0.352637908274308
736132.535829398,-35.3709,-17.809,27.1,6.9,0,1,0,-1.26014594844543
735787.474939583,14.724,-92.4614,53,6.9,0,18,0,-0.00487344334212159
735773.805061227,-30.0038,-177.5306,20.8,6.9,0,252,0,1.14125459233612
735743.392398032,40.2763,25.3698,8.2,6.9,0,9,0,-0.305903439006103
735668.220990625,40.7235,-125.0869,6.1,6.9,0,7,0,-0.415047908431171
735642.388754861,35.8767,82.5807,4.1,6.9,0,23,0,0.101581887572165
735563.269151389,-53.9716,-54.9648,10,6.9,0,10,2,-0.260145948445428
735554.149013773,-60.3079,-47.199,24,6.9,0,152,3,0.921697639499345
734764.52835162,27.8039,88.1536,29.6,6.9,0,3,0,-0.783024693725765
734363.888590509,12.4748,141.5621,16.4,6.9,0,107,0,0.769237829239782
734337.544577894,-5.9807,150.5165,45.8,6.9,0,124,0,0.833275736716808
734241.992789468,33.1928,96.7466,13.8,6.9,0,17,1,-0.0296970270671537
734239.403123264,-10.9275,161.1662,54.3,6.9,0,5,0,-0.561175944109409
733988.749958218,29.0705,-112.9137,7.8,6.9,0,7,2,-0.415047908431171
733822.912335301,-27.3912,-176.2355,28.2,6.9,0,15,0,-0.0840546893897463
733700.215675579,-21.8818,-173.799,30.7,6.9,0,25,0,0.13779406022661
733608.110760069,37.5426,142.2558,28.3,6.9,0,36,0,0.29615655232186
733572.988735995,39.1514,140.7365,11.6,6.9,0,73,0,0.603176911675028
733535.698160648,36.2377,141.5076,40.1,6.9,0,56,18,0.488042078560773
733470.591147222,13.4239,125.7162,26,6.9,0,63,0,0.539194601008154
733452.423184838,36.5173,21.6699,31.5,6.9,0,33,0,0.25836799143246
733446.401547222,10.7251,-41.902,4.1,6.9,0,1,0,-1.26014594844543
733249.236319676,2.8864,127.5683,39.8,6.9,0,50,0,0.438824055890591
733168.197476852,-0.46,100.39,10,6.9,0,4,0,-0.658085957117465
733166.703252315,-0.46,100.39,10,6.9,0,5,1,-0.561175944109409
733166.573715278,-0.48,100.34,10,6.9,0,6,0,-0.481994698061784
733072.204740394,-54.9175,146.2902,10,6.9,0,6,0,-0.481994698061784
732948.265412153,-16.616,-172.0201,40,6.9,0,16,0,-0.0560259657895028
732451.079762616,2.0195,97.0578,29.9,6.9,0,164,2,0.95469789960227
732260.998890394,-11.186,163.664,25.3,6.9,0,33,0,0.25836799143246
731727.807977199,2.3575,128.9157,42.4,6.9,0,30,0,0.216975306274235
731237.657913194,20.2,169.4,10,6.9,0,0,0,-Inf
730483.562031597,-10.951,165.391,33,6.9,0,71,4,0.591112400273648
730352.41832963,9.258,-84.056,44.9,6.9,0,23,0,0.101581887572165
730199.449827431,51.563,-177.716,25.8,6.9,0,5,0,-0.561175944109409
730187.517902431,52.069,159.435,36.6,6.9,0,5,3,-0.561175944109409
729903.639050926,-8.0198,114.6421,33,6.9,0,6,0,-0.481994698061784
729653.674647338,-28.7375,-177.575,11.4,6.9,0,11,0,-0.218753263287203
729590.598713773,16.339,-98.1903,31.4,6.9,0,19,0,0.0186076525074013
729580.808451968,10.5045,-63.5453,3,6.9,0,10,0,-0.260145948445428
729513.698564236,-31.6399,-179.3367,47.8,6.9,0,27,0,0.17121781571356
729511.484423843,18.9948,-107.2671,15,6.9,0,6,0,-0.481994698061784
729460.806948727,7.7587,127.6742,8.5,6.9,0,9,1,-0.305903439006103
729348.447757755,35.3057,78.1952,35.5,6.9,0,9,0,-0.305903439006103
729212.71122338,22.56,122.05,7,6.9,0,4,0,-0.658085957117465
728950.442685764,28.1027,130.4337,37,6.9,0,182,1,0.999925439539647
728777.687516204,43.9194,148.0071,37.6,6.9,0,64,0,0.546034025538459
728062.499851852,55.0014,-160.3909,33.3,6.9,0,9,0,-0.305903439006103
727804.763034954,-0.9879,-13.6006,15.5,6.9,0,0,0,-Inf
727783.763429051,57.5938,-142.9356,13.6,6.9,0,1,0,-1.26014594844543
727763.359013542,39.3707,143.3458,28.6,6.9,0,75,4,0.614915314946272
727625.520601042,52.8835,159.8808,41.7,6.9,0,16,0,-0.0560259657895028
727427.928645833,41.8481,-125.413,13.5,6.9,0,3,3,-0.783024693725765
727383.488316898,-8.0925,124.6805,28.8,6.9,0,18,1,-0.00487344334212159
727293.180431713,-5.9699,-77.1001,17.2,6.9,0,45,3,0.393066565329916
727203.623046296,23.5455,95.9627,18.1,6.9,0,8,0,-0.357055961453484
726883.283451157,-15.4729,166.3965,12,6.9,0,15,0,-0.0840546893897463
726770.226163542,39.6049,143.3336,22.2,6.9,0,88,2,0.684336723704741
726759.002948495,37.0608,-121.7895,7.6,6.9,0,24,0,0.120065293266178
726205.972169329,-17.209,-72.2509,33,6.9,0,13,0,-0.146202596138591
725364.219484375,62.1887,-124.2744,6,6.9,0,24,0,0.120065293266178
725339.101186921,-14.0287,166.2237,33.1,6.9,0,93,1,0.708337000108508
725276.310960417,-34.6115,-178.5709,15.7,6.9,0,65,1,0.552767408197428
