MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres,SeismoWidth,Background,Time_appended_cat1,Lat_appended_cat1,Lon_appended_cat1,Depth_appended_cat1,Mw_appended_cat1,Mo_appended_cat1,Width_appended_cat1,Length_appended_cat1,Strike_appended_cat1,Dip_appended_cat1,Rake_appended_cat1,RuptureVelocity_appended_cat1,RuptureTime_appended_cat1,StressDrop_appended_cat1,Young_appended_cat1,Poisson_appended_cat1
736435.684099769,32.7906,130.7543,10,7,0,59,0,0.170306037145448,35.6,1.6581311367491e-15,736435,32.782,130.726,12,7.04,4.742828e+19,26.1,90,224,66,208,2.26,1.95,5,85044560711.5453,0.265854477786413
736172.9037125,-2.7134,138.5428,47.8,7,0,7,0,-0.755447934482439,37.7,4.26201047030959e-15,736172,-2.69,138.4789,48,6.96,3.5648385e+19,73.1,65,122,56,75,1.95,3.6,4.2,154770203449.756,0.277742975287408
735502.696333102,-15.9001,-74.6012,38.2,7,0,2,0,-1.29951597883271,34.65,0,737074,-15.776,-74.744,36.3,7.09,5.7254333e+19,85,133,313,35,92,2.16,2.26,5.1,153168550476.033,0.278126264613166
736809.901745833,-33.0291,-72.0452,28,6.9,0,62,0,0.295880816430576,34.488,3.19182180350322e-15,736809,-33.0844,-72.0397,27,6.89,2.791498e+19,86.1,105,4,17,99,2.05,2.15,3.3,172821445288.876,0.279487037997594
736620.260397801,-6.0526,148.8617,35,6.9,0,6,0,-0.718359622684035,37.95,4.8805415916624e-15,736448,-16.0941,167.3368,35,6.98,3.8615787e+19,52,55,332,37,91,2.32,1.76,9.4,172821445288.877,0.279487037997594
736163.1024625,-10.4574,165.1009,11.8,6.9,0,19,0,-0.21775727211485,38,7.67968151960316e-15,736091,-7.2771,154.5344,12,7.05,4.8551687e+19,35,105,125,67.5,272,1.96,2.24,2.7,46398784105.8492,0.330580673774526
735787.474939583,14.724,-92.4614,53,6.9,0,11,0,-0.455118187909453,35.524,4.44554752661644e-15,736957,18.549,-98.487,51,7.11,6.012192e+19,45,75,111,42,269,2.03,2.11,8.6,172821445288.877,0.279487037997594
734239.403123264,-10.9275,161.1662,54.3,6.9,0,2,0,-1.1954808774037,37.82,6.45033386587934e-15,735700,-6.59,155.05,60,7.06,5.0736954e+19,94,126,310,45,87,2.43,2.15,2.1,172821445288.877,0.279487037997594
735264.844252199,-28.1096,-70.8883,46.1,6.8,0,5,0,-0.693505767302641,32.96,1.88849362483588e-15,736478,-56.2571,-27.0364,78,7.15,6.9645446e+19,73.5,75,99,67,307,1.77,2.06,5.4,172821445288.876,0.279487037997594
733311.525309143,-5.0384,153.4446,31.8,6.8,0,13,0,-0.278532419331823,39.12,6.14564808755922e-15,734354,-5.75,150.76,34,6.87,2.6603077e+19,75,95,240,31,80,2.19,2.06,1,118850175555.589,0.273369005911105
732477.715455324,51.1639,179.4806,53.9,6.8,0,23,0,-0.0307479356210669,36,1.26974415412546e-14,736359,54.0377,158.5142,160,7.2,8.2728467e+19,60,75,78,72,239,0.74,2.17,17,172821445288.876,0.279487037997594
733256.140131481,51.3617,-179.9834,53.8,6.7,0,11,0,-0.247047985051416,35.8,1.61165561613645e-14,736353,59.6585,-153.4521,127.8,7.12,6.2205808e+19,52.5,50,60,66,37,1.28,2.03,13,172821445288.876,0.279487037997594
734023.945568981,42.5829,43.4523,14.6,6,0,31,0,0.931166733627759,25,4.42914315737252e-15,734799,38.752,43.456,16,0,0,50.721568,75,241.32,50.94,58.4,1.56,2.2,7.1,86884337534.5999,0.255895767744304
